Connector ID,Connector,Connector Location Views Page Number,Grid Reference,Location in Vehicle
C1606,"Coil On Plug (COP) 6 (6.2L)",12,E7,"On top left side of engine"
C1607,"Coil On Plug (COP) 7 (5.0L)",11,A2,"engine, LH cylinder head"
C1607,"Coil On Plug (COP) 7 (6.2L)",12,B7,"On top left side of engine"
C1608,"Coil On Plug (COP) 8 (5.0L)",11,B1,"engine, LH cylinder head"
C1608,"Coil On Plug (COP) 8 (6.2L)",12,C7,"On top left side of engine"
C101,"Crankshaft Position (CKP) sensor (3.7L)",8,E7,"engine, rear, bottom LH side"
C1120,"Crankshaft Position (CKP) sensor (3.5L)",7,E5,"engine rear, LH side"
C101,"Crankshaft Position (CKP) sensor (5.0L)",11,F5,"engine rear, RH side"
C101,"Crankshaft Position (CKP) sensor (6.2L)",13,D1,"On left rear side of engine"
,"Cupholder lamp, front (with ambient lighting)",19,A5,"Center console"
,"Cupholder lamp, rear (with ambient lighting)",19,A3,"Center console"
,"Customer access cut wires",22,B7,"Behind right side of dash panel, taped to harness (12A581)"
,"Customer access cut wires",4,B1,"Right engine compartment, taped to harness (12A581)"
C107,"Cylinder Head Temperature (CHT) sensor (3.5L)",7,D7,"engine, rear"
C107,"Cylinder Head Temperature (CHT) sensor (3.7L)",9,E7,"Engine, top, front RH side"
C107,"Cylinder Head Temperature (CHT) sensor (5.0L)",11,F3,"On right rear of engine"
C107,"Cylinder Head Temperature (CHT) sensor (6.2L)",13,E6,"On right rear of engine"
C251,"Data Link Connector (DLC)",15,F1,"Behind left side of dash panel"
C2293A,"DC/AC inverter module",16,F4,"Behind center of dash panel"
C236,"Defrost / Panel / Floor mode door actuator",18,E5,"Behind center of dash panel"
C901,"Dome lamp, front",46,A4,"In roof panel, center rear"
C901,"Dome lamp, front",48,E7,"In roof panel, rear"
C715,"Door ajar switch, left rear (Super Cab)",44,F2,"In LH rear door"
C820,"Door ajar switch, right rear (Super Cab)",44,F3,"In RH rear door"
C525,"Door latch, left front",42,C1,"Left front door"
C705,"Door latch, left rear (Super Crew)",45,D7,"In LH rear door"
C609,"Door latch, right front",43,D8,"Right front door"
C805,"Door latch, right rear (Super Crew)",45,D7,"In RH rear door"
C505,"Door lock switch, left front",42,F2,"Left front door"
C605,"Door lock switch, right front (Crew Cab)",43,C2,"Right front door"
C216A,"Driver air bag module",25,B5,"In steering wheel"
C382,"Driver seat front height motor",37,D1,"Under driver seat"
C3246,"Driver seat horizontal motor",37,D7,"Under driver seat"
C341A,"Driver Seat Module (DSM)",37,F3,"Under driver seat"
C363,"Driver seat rear height motor",37,C1,"Under driver seat"
C3187,"Driver seat recliner motor",37,B7,"In driver seat back"
C3265A,"Dual Climate Controlled Seat Module (DCSM) (climate controlled seats)",40,E2,"Under passenger seat"
C4359,"Electronic Locking Differential (ELD) field coil",34,F3,"Vehicle rear end, LH side, on differential"
C1513,"Electronic Throttle Control (ETC) (3.5L)",7,A7,"engine, top, throttle body"
C1513,"Electronic Throttle Control (ETC) (3.7L)",8,A4,"engine, top, throttle body"
C1513,"Electronic Throttle Control (ETC) (6.2L)",12,A4,"On top center of engine"
C909,"Electronic compass",46,B2,"In roof panel, front center"
C909,"Electronic compass",47,A1,"In roof panel, front center"
C909,"Electronic compass",48,F6,"In roof panel, front center"
C909,"Electronic compass (With moonroof)",48,B7,"In roof panel, rear center"
C2613A,"Electronic Locking Differential  (ELD) Module",22,B1,"Behind right side of dash panel"
