Connector ID,Connector,Connector Location Views Page Number,Grid Reference,Location in Vehicle
C644,"Side impact sensor, passenger front door",43,A7,"Right front door"
C1127,"Side lamp, left front",1,D7,"Left front engine compartment"
C1126,"Side lamp, right front",1,D1,"Right front engine compartment"
C2356,"Speaker, instrument panel",16,A7,"Behind top center of dash panel"
C523,"Speaker, left front",42,E7,"Left front door"
C702,"Speaker, left rear (Super Cab)",44,C2,"In LH rear door"
C702,"Speaker, left rear (Super Crew)",45,B1,"In LH rear door"
C702,"Speaker, left rear (Regular Cab)",26,D1,"LH lower B-pillar"
C612,"Speaker, right front",43,D2,"Right front door"
C802,"Speaker, right rear (Super Cab)",44,C2,"In RH rear door"
C802,"Speaker, right rear (Super Crew)",45,C1,"In RH rear door"
C802,"Speaker, right rear (Regular Cab)",29,D7,"RH lower B-pillar"
C197A,"Starter Motor",3,A4,"On right bottom of engine"
C2414B,"Steering Column Control Module (SCCM) (Floor shifter)",23,A1,"On steering column"
C2414A,"Steering Column Control Module (SCCM)",23,D7,"On steering column"
C2414B,"Steering Column Control Module (SCCM) (Column shifter)",24,A2,"On steering column"
C2414A,"Steering Column Control Module (SCCM) (Column shifter)",24,D7,"On steering column"
C2998,"Steering wheel switch, left",25,E2,"In steering wheel"
C2999,"Steering wheel switch, right",25,E7,"In steering wheel"
,"Storage bin lamp (with ambient lighting)",19,A1,"Center console"
C3020,"Subwoofer (Super Cab)",27,F5,"Vehicle floor, behind passenger seat"
C3020,"Subwoofer (Super Cab/Super Crew)",33,F2,"Vehicle floor, behind RH side of rear seats"
C2409,"Telematics module (Crew Chief)",16,A4,"Behind top center of dash panel"
C577,"Telescoping exterior rear view mirror switch",42,B6,
C2091,"Temperature blend door actuator, LH side (automatic a/c)",18,F4,"Behind center of dash panel"
C2092,"Temperature blend door actuator, RH side (automatic a/c)",18,A4,"Behind right side of dash panel"
C2381,"Temperature blend door actuator (manual a/c)",18,A4,"Behind right side of dash panel"
C2415,"Tire Pressure Monitor (TPM) module",18,F3,"Behind right side of dash panel"
,"Tool link antenna 1",35,D1,"Truck bed, top left side"
,"Tool link antenna 2",35,A4,"Truck bed, top right side"
,"Tool link reader",49,B8,"Left side of rear panel"
C2399,"Tow haul switch (Column shifter)",24,A6,"On steering column"
C2142,"Trailer Brake Control (TBC) module",18,F5,"Behind left side of dash panel"
C2142,"Trailer Brake Control (TBC) module (Installed position)",17,B2,"Connected to rear of coin bin (w/o TBC)"
C439A,"Trailer tow connector",34,F6,"Vehicle rear end, LH side"
C350,"Transfer case assembly (ESOF)",14,E7,"Left rear side of transmission"
C2371A,"Transfer Case Control Module (TCCM)",22,C1,"Behind right side of dash panel"
C1246,"Turbocharger (TC) wastegate regulating valve solenoid (3.5L)",6,A7,"engine, top front"
C1588,"Turbocharger Boost Pressure/Charge Air Cooler Temperature (TCBP/CACT) sensor",1,A4,"Front engine compartment"
C1622,"Turbocharger Bypass Valve (TCBY)",2,F5,"Front left engine compartment"
C1667,"Turbocharger Intake Pressure and Temperature (TCIPT) sensor (3.5L)",3,F6,"Front left engine compartment"
C230,"Tweeter, left front",18,A8,"Behind left side of dash panel"
C231,"Tweeter, right front",15,B7,"Behind right side of dash panel"
C1571,"Universal Heated Oxygen Sensor (HO2S) #11 (5.0L/6.2L)",14,B6,"Right center of transmission"
C1572,"Universal Heated Oxygen Sensor (HO2S) #21 (5.0L/6.2L)",14,E1,"Left center of transmission"
C1631,"Universal Heated Oxygen Sensor (HO2S) #11 (3.7L)",9,F5,"Rear of engine, top, RH side"
C1661,"Universal Heated Oxygen Sensor (HO2S) #11 (3.5L)",7,F5,"Transmission, RH side"
C1662,"Universal Heated Oxygen Sensor (HO2S) #21 (3.5L)",7,A2,"Rear of engine, LH side"
C1632,"Universal Heated Oxygen Sensor (HO2S) #21 (3.7L)",9,D1,"Rear of engine, top, LH side"
C3389,"Upfitter switch (SVT Raptor)",20,B6,"Center console"
C907,"Vanity mirror lamp, left",47,F4,"In roof panel, front left"
C907,"Vanity mirror lamp, left",48,E5,"In roof panel, front left"
C906,"Vanity mirror lamp, right",47,B1,"In roof panel, front right"
C906,"Vanity mirror lamp, right",48,C1,"In roof panel, front right"
C1451,"Variable Camshaft Timing 11 (VCT11) solenoid (3.5L)",6,C8,"On top right side of engine"
C1451,"Variable Camshaft Timing 11 (VCT11) solenoid (3.7L)",8,B2,"On top right side of engine"
C1610,"Variable Camshaft Timing 12 (VCT12) solenoid (3.5L)",6,D8,"On top right side of engine"
C1610,"Variable Camshaft Timing 12 (VCT12) solenoid (3.7L)",8,C2,"On top right side of engine"
C1649,"Variable Camshaft Timing 12 (VCT12) solenoid (5.0L)",10,C1,"On top front right side of engine"
C1370,"Variable Camshaft Timing 2 (VCT2) solenoid (6.2L)",12,F1,"On top front left side of engine"
C1452,"Variable Camshaft Timing 21 (VCT21) solenoid (3.5L)",5,A3,"On top left side of engine"
C1452,"Variable Camshaft Timing 21 (VCT21) solenoid (3.7L)",8,A7,"On top left side of engine"
C1671,"Variable Camshaft Timing 21 (VCT21) solenoid (5.0L)",10,E8,"On top front left side of engine"
C1611,"Variable Camshaft Timing 22 (VCT22) solenoid (3.5L)",5,C1,"On top left side of engine"
C1611,"Variable Camshaft Timing 22 (VCT22) solenoid (3.7L)",8,A8,"On top left side of engine"
C1648,"Variable Camshaft Timing 22 (VCT22) solenoid (5.0L)",10,E7,"On top front left side of engine"
C1369,"Variable Camshaft Timing 1 (VCT1) solenoid (6.2L)",12,B1,"On top front right side of engine"
C1670,"Variable Camshaft Timing 11 (VCT11) solenoid (5.0L)",10,E1,"On top front right side of engine"
C4357,"Video camera",35,D8,"Tailgate, center"
C150,"Wheel speed sensor, left front",2,C7,"Left rear engine compartment"
C440,"Wheel speed sensor, left rear",34,A2,"Vehicle rear end, LH side, near left tire"
C160,"Wheel speed sensor, right front",2,D1,"Right rear engine compartment"
C426,"Wheel speed sensor, right rear",34,A5,"Vehicle rear end, RH side, near right tire"
C604,"Window control switch, passenger side",43,A4,"Right front door"
C701,"Window control switch, left rear (Super Cab)",44,A1,"In LH rear door"
C701,"Window control switch, left rear (Super Crew)",45,B7,"In LH rear door"
C801,"Window control switch, right rear (Super Cab)",44,B1,"In RH rear door"
C801,"Window control switch, right rear (Super Crew)",45,B8,"In RH rear door"
C137,"Windshield washer pump motor",2,D1,"Right front engine compartment"
C125,"Windshield wiper motor",2,A6,"Rear left engine compartment"
C100,"C100 (6.2L)",13,D7,"On right front side of engine"
C100,"C100",3,C1,"right engine compartment"
C101,"C101 (5.0L)",11,F5,"engine rear, RH side"
C101,"C101 (3.7L)",8,E7,"engine, rear, bottom LH side"
C101,"C101 (6.2L)",13,D1,"On left rear side of engine"
C1010,"C1010 (6.2L)",13,C8,"Right front of engine compartment"
C1010,"C1010 (6.2L)",14,A5,"Right rear engine compartment"
C1010,"C1010 (6.2L)",2,C1,"Right rear engine compartment"
C1019,"C1019 (5.0L)",11,D1,"engine, top, rear"
C1021,"C1021",1,E7,"Front left engine compartment"
C1023,"C1023",1,F7,"Front left engine compartment"
C1026,"C1026 (3.7L)",9,A5,"engine, RH cylinder head"
C102A,"C102A (6.2L)",4,A4,"Lower engine"
C102A,"C102A (3.5L/3.7L/5.0L)",3,A6,"On engine"
C102B,"C102B (6.2L)",4,A4,"lower engine"
C102B,"C102B (3.5L/3.7L/5.0L)",3,A5,"On engine"
C103,"C103 (5.0L)",10,F5,"On lower left front side of engine"
C103,"C103 (6.2L)",12,F2,"On lower left front side of engine"
C103,"C103 (3.5L)",5,F4,"On lower left front side of engine"
C103,"C103 (3.7L)",8,F6,"On lower left front side of engine"
C1035A,"C1035A",1,F5,"Front center engine compartment"
C1035B,"C1035B",1,F5,"Front center engine compartment"
C1041,"C1041",1,E1,"Front right engine compartment"
C1043,"C1043",1,F2,"Front right engine compartment"
C107,"C107 (3.5L)",7,D7,"engine, rear"
C107,"C107 (3.7L)",9,E7,"Engine, top, front RH side"
C107,"C107 (5.0L)",11,F3,"On right rear of engine"
C107,"C107 (6.2L)",13,E6,"On right rear of engine"
C1073,"C1073 (3.5L)",7,C1,"engine, rear center"
C1074,"C1074",1,A5,"Front engine compartment"
C1077,"C1077",1,A6,"Front engine compartment"
C108,"C108 (3.5L)",7,A4,"Rear of engine, top. LH side"
C108,"C108 (3.7L)",9,B1,"Rear of engine, top. LH side"
C1087,"C1087 (3.5L)",5,A6,"engine, rear"
C110,"C110",1,E3,"Right front engine compartment"
C1100A,"C1100A (6.2L)",2,E1,"Front right engine compartment"
C1100B,"C1100B",1,A2,"On negative battery post"
C1100C,"C1100C (6.2L)",2,E1,"Front right engine compartment"
C1100D,"C1100D (3.5L/3.7L/5.0L)",2,E1,"Front right engine compartment"
C1100E,"C1100E (3.5L/3.7L/5.0L)",2,E1,"Front right engine compartment"
C1100F,"C1100F",1,A2,"On negative battery post"
C1100G,"C1100G (6.2L)",2,E1,"Front right engine compartment"
C111,"C111 (3.5L)",6,A5,"engine, RH cylinder head"
C112,"C112 (3.5L)",6,D7,"engine, RH cylinder head"
C1120,"C1120 (3.5L)",7,E5,"engine rear, LH side"
C1126,"C1126",1,D1,"Right front engine compartment"
C1127,"C1127",1,D7,"Left front engine compartment"
C113,"C113 (3.5L)",6,E7,"engine, RH cylinder head"
C114,"C114 (3.5L)",5,F1,"engine, LH cylinder head"
C1141,"C1141 (3.5L)",5,C1,"engine, RH cylinder head"
C1142,"C1142 (3.5L)",5,E1,"engine, RH cylinder head"
C1143,"C1143 (3.5L)",5,A5,"engine, RH cylinder head"
C1144,"C1144 (3.5L)",5,D1,"engine, LH cylinder head"
C1145,"C1145 (3.5L)",5,E1,"engine, LH cylinder head"
C1146,"C1146 (3.5L)",5,E1,"engine, LH cylinder head"
C1149,"C1149 (5.0L)",10,F6,"engine, LH side, bottom"
C115,"C115 (3.5L)",5,F6,"engine, LH cylinder head"
C116,"C116 (3.5L)",5,C7,"engine, LH cylinder head"
C1181,"C1181 (3.7L)",9,A7,"engine, RH cylinder head"
C1182,"C1182 (3.7L)",9,A5,"engine, RH cylinder head"
C1183,"C1183 (3.7L)",9,A3,"engine, RH cylinder head"
C1184,"C1184 (3.7L)",8,F4,"engine, LH cylinder head"
C1185,"C1185 (3.7L)",8,F6,"engine, LH cylinder head"
C1186,"C1186 (3.7L)",8,D8,"engine, LH cylinder head"
C123,"C123 (3.7L)",8,A5,"Engine top, RH side"
C123,"C123 (3.5L)",5,B6,"engine, rear"
C123,"C123 (5.0L)",11,B7,"engine, top, throttle body"
C123,"C123 (6.2L)",12,B6,"On top left side of engine"
C124,"C124",2,B8,"Left rear engine compartment"
C1246,"C1246 (3.5L)",6,A7,"engine, top front"
C125,"C125",2,A6,"Rear left engine compartment"
C1260,"C1260",2,F2,"Front right engine compartment"
C127,"C127",3,C7,"Left engine compartment"
C1275,"C1275 (6.2L)",13,F3,"On right rear side of engine"
C1276,"C1276 (6.2L)",13,B1,"On left rear side of engine"
C1284,"C1284",1,E1,"Front right engine compartment"
C1285,"C1285",1,E7,"Front left engine compartment"
C1291,"C1291",1,B8,"Left rear engine compartment"
C131,"C131",2,F3,"Front right engine compartment"
C132,"C132",2,F4,"Front right engine compartment"
C133,"C133 (6.2L)",13,B3,"On top rear of engine"
C134,"C134",1,B8,"Left rear engine compartment"
C135,"C135",2,D7,"Front left engine compartment"
C136,"C136",2,F6,"Front left engine compartment"
C1364,"C1364 (3.5L)",6,E6,"Rear of engine, top, RH side"
C1366,"C1366 (3.5L)",6,A3,"Rear of engine, top, RH side"
C1367,"C1367 (3.5L)",6,C1,"Rear of engine, top, LH side"
C1369,"C1369 (6.2L)",12,B1,"On top front right side of engine"
C137,"C137",2,D1,"Right front engine compartment"
C1370,"C1370 (6.2L)",12,F1,"On top front left side of engine"
C1381B,"C1381B (5.0L/6.2L)",2,A3,"Rear right engine compartment"
C1381E,"C1381E (5.0L)",10,A2,"engine compartment, RH side, front"
C1381E,"C1381E (5.0L/6.2L)",2,A3,"Rear right engine compartment"
C1381T,"C1381T (5.0L/6.2L)",2,A4,"Rear right engine compartment"
C139,"C139",3,F3,"Front right engine compartment"
C140,"C140",1,B2,"Right rear engine compartment"
C140,"C140 (3.5L/3.7L/5.0L)",14,A5,"Right rear engine compartment"
C141,"C141 (5.0L/6.2L)",14,C1,"Left center of transmission"
C142,"C142 (5.0L/6.2L)",14,C6,"Right center of transmission"
C144,"C144 (6.2L)",3,D1,"Right front engine compartment"
C145,"C145 (with front camera)",4,F7,"Front left engine compartment"
C1451,"C1451 (3.5L)",6,C8,"On top right side of engine"
C1451,"C1451 (3.7L)",8,B2,"On top right side of engine"
C1452,"C1452 (3.5L)",5,A3,"On top left side of engine"
C1452,"C1452 (3.7L)",8,A7,"On top left side of engine"
C1454,"C1454",2,E7,"Front left engine compartment"
C146,"C146 (5.0L)",10,B1,"engine compartment, RH side, front"
C146,"C146 (3.5L)",5,B1,"engine compartment, RH side, front"
C146,"C146 (3.7L)",8,C1,"engine compartment, RH side, front"
C146,"C146 (3.5L/3.7L/5.0L)",2,C1,"Right rear engine compartment"
C1463A,"C1463A",3,A5,"Lower enging compartment"
C1463B,"C1463B",3,A5,"Lower enging compartment"
C1465,"C1465",2,F7,"Front left engine compartment"
C1466,"C1466",2,F3,"Front right engine compartment"
C149,"C149",2,A7,"Left rear engine compartment"
C150,"C150",2,C7,"Left rear engine compartment"
C1512,"C1512 (5.0L)",11,D8,"RH rear of engine"
C1513,"C1513 (5.0L)",10,F2,"engine, top, throttle body"
C1513,"C1513 (3.5L)",7,A7,"engine, top, throttle body"
C1513,"C1513 (3.7L)",8,A4,"engine, top, throttle body"
C1513,"C1513 (6.2L)",12,A4,"On top center of engine"
C1514,"C1514 (5.0L)",11,B8,"On top rear of engine"
C152,"C152",1,E7,"Front left engine compartment"
C1544,"C1544 (6.2L)",12,D1,"On top front right side of engine"
C1544,"C1544 (5.0L)",11,E1,"rear of engine, top, RH side"
C1545,"C1545 (6.2L)",12,A6,"On top left side of engine"
C1551B,"C1551B (3.5L)",2,A3,"Rear right engine compartment"
C1551E,"C1551E (3.5L)",5,A1,"engine compartment, RH side, front"
C1551E,"C1551E (3.5L)",2,A3,"Rear right engine compartment"
C1569,"C1569 (3.7L)",14,B1,"Left center of transmission"
C1569,"C1569 (3.5L)",7,D2,"Left center of transmission"
C1570,"C1570 (3.7L)",14,C6,"Right center of transmission"
C1570,"C1570 (3.5L)",7,F1,"Right center of transmission"
C1571,"C1571 (5.0L/6.2L)",14,B6,"Right center of transmission"
C1572,"C1572 (5.0L/6.2L)",14,E1,"Left center of transmission"
C1575,"C1575",14,D7,"Right center of transmission"
C1575,"C1575 (3.5L)",7,F3,"Right center of transmission"
C1581,"C1581",1,C8,"Left rear engine compartment"
C1586,"C1586 (3.5L)",6,D3,"Rear of engine, top"
C1587,"C1587 (3.5L)",6,D2,"Rear of engine, top"
C1588,"C1588",1,A4,"Front engine compartment"
C1589,"C1589 (3.5L)",5,C7,"engine, left rear"
C1592,"C1592 (SVT Raptor)",4,F6,"Front left engine compartment"
C1593,"C1593 (SVT Raptor)",4,F5,"Front center engine compartment"
C1594,"C1594 (SVT Raptor)",4,F2,"Front right engine compartment"
C1595,"C1595 (SVT Raptor)",4,F7,"Front left engine compartment"
C1596,"C1596 (SVT Raptor)",4,E8,"Front left engine compartment"
C1597,"C1597 (SVT Raptor)",4,E1,"Front right engine compartment"
C160,"C160",2,D1,"Right rear engine compartment"
C1601,"C1601 (5.0L)",10,E3,"engine, RH cylinder head"
C1601,"C1601 (3.7L)",9,B8,"engine, RH cylinder head"
C1601,"C1601 (6.2L)",13,A6,"On top right side of engine"
C1602,"C1602 (5.0L)",10,F4,"engine, RH cylinder head"
C1602,"C1602 (3.7L)",9,A6,"engine, RH cylinder head"
C1602,"C1602 (6.2L)",13,A5,"On top right side of engine"
C1603,"C1603 (5.0L)",10,F5,"engine, RH cylinder head"
C1603,"C1603 (3.7L)",9,A4,"engine, RH cylinder head"
C1603,"C1603 (6.2L)",13,A4,"On top right side of engine"
C1604,"C1604 (3.7L)",8,E7,"engine, LH cylinder head"
C1604,"C1604 (5.0L)",10,A5,"engine, RH cylinder head"
C1604,"C1604 (6.2L)",13,A3,"On top right side of engine"
C1605,"C1605 (5.0L)",11,A4,"engine, LH cylinder head"
C1605,"C1605 (3.7L)",8,C8,"engine, LH cylinder head"
C1605,"C1605 (6.2L)",12,E1,"On top left side of engine"
C1606,"C1606 (5.0L)",11,A4,"engine, LH cylinder head"
C1606,"C1606 (3.7L)",8,B8,"engine, LH cylinder head"
C1606,"C1606 (6.2L)",12,E7,"On top left side of engine"
C1607,"C1607 (5.0L)",11,A2,"engine, LH cylinder head"
C1607,"C1607 (6.2L)",12,B7,"On top left side of engine"
C1608,"C1608 (5.0L)",11,B1,"engine, LH cylinder head"
C1608,"C1608 (6.2L)",12,C7,"On top left side of engine"
C1610,"C1610 (3.5L)",6,D8,"On top right side of engine"
C1610,"C1610 (3.7L)",8,C2,"On top right side of engine"
C1611,"C1611 (3.5L)",5,C1,"On top left side of engine"
C1611,"C1611 (3.7L)",8,A8,"On top left side of engine"
C1612,"C1612 (3.7L)",9,F2,"Rear of engine, top, RH side"
C1613,"C1613 (3.7L)",9,E2,"Rear of engine, top, LH side"
C1614,"C1614 (6.2L)",13,F4,"On right rear of engine"
C1615,"C1615 (6.2L)",13,E5,"On right rear of engine"
C1617A,"C1617A",3,E1,"Right front engine compartment"
C1617B,"C1617B",3,E1,"Right front engine compartment"
C162,"C162",1,E2,"Front right engine compartment"
C1622,"C1622",2,F5,"Front left engine compartment"
C1624,"C1624 (3.7L)",9,F4,"Rear of engine, top, RH side"
C1625,"C1625 (3.7L)",9,C1,"Rear of engine, top, LH side"
C1626,"C1626 (5.0L)",11,E6,"Rear of engine, top, RH side"
C1627,"C1627 (5.0L)",11,D1,"Rear of engine, top, LH side"
C1631,"C1631 (3.7L)",9,F5,"Rear of engine, top, RH side"
C1632,"C1632 (3.7L)",9,D1,"Rear of engine, top, LH side"
C1645,"C1645",3,E1,"right front engine compartment"
C1646,"C1646",1,A3,"Right engine compartment"
C1648,"C1648 (5.0L)",10,E7,"On top front left side of engine"
C1649,"C1649 (5.0L)",10,C1,"On top front right side of engine"
C1653,"C1653 (5.0L)",11,D7,"Rear of engine, top, RH side"
C1654,"C1654 (5.0L)",11,C1,"Rear of engine, top, LH side"
C1661,"C1661 (3.5L)",7,F5,"Transmission, RH side"
C1662,"C1662 (3.5L)",7,A2,"Rear of engine, LH side"
C1663,"C1663",4,F4,"Front center engine compartment"
C1664,"C1664",4,A6,"Left rear engine compartment"
C1667,"C1667 (3.5L)",3,F6,"Front left engine compartment"
C1670,"C1670 (5.0L)",10,E1,"On top front right side of engine"
C1671,"C1671 (5.0L)",10,E8,"On top front left side of engine"
C1729,"C1729 (3.5L)",6,A2,"Rear of engine, top, LH side"
C175B,"C175B (Outboard Connector)",2,A3,"Rear right engine compartment"
C175E,"C175E (3.7L)",8,A1,"engine compartment, RH side, front"
C175E,"C175E (3.7L)",2,A3,"Rear right engine compartment"
C175T,"C175T (3.7L)",2,A4,"Rear right engine compartment"
C181,"C181 (5.0L)",10,A3,"engine, RH cylinder head"
C181,"C181 (6.2L)",13,B7,"On top right side of engine"
C182,"C182 (5.0L)",10,A4,"engine, RH cylinder head"
C182,"C182 (6.2L)",13,C7,"On top right side of engine"
C183,"C183 (5.0L)",10,A6,"engine, RH cylinder head"
C183,"C183 (6.2L)",13,D7,"On top right side of engine"
C184,"C184 (5.0L)",10,B7,"engine, RH cylinder head"
C184,"C184 (6.2L)",13,D6,"On top right side of engine"
C185,"C185 (5.0L)",11,A6,"engine, LH cylinder head"
C185,"C185 (6.2L)",12,F5,"On top left side of engine"
C186,"C186 (5.0L)",11,A5,"engine, LH cylinder head"
C186,"C186 (6.2L)",12,F6,"On top left side of engine"
C187,"C187 (5.0L)",11,A3,"engine, LH cylinder head"
C187,"C187 (6.2L)",12,E7,"On top left side of engine"
C188,"C188 (5.0L)",11,A1,"engine, LH cylinder head"
C188,"C188 (6.2L)",12,C7,"On top left side of engine"
C192,"C192 (3.5L/3.7L/5.0L)",3,D1,"Right front engine compartment"
C197A,"C197A",3,A4,"On right bottom of engine"
C197B,"C197B",3,A4,"On right bottom of engine"
C2003,"C2003 (without memory)",21,A4,"LH kick panel"
C2004,"C2004",18,D1,"Behind right side of dash panel"
C2008,"C2008 (Column shifter)",24,F2,"On steering column"
C2015,"C2015",21,A7,"LH kick panel"
C2023,"C2023",21,A3,"LH kick panel"
C2031,"C2031",15,E4,"Behind center of dash panel"
C2033,"C2033",15,D6,"Behind dash panel"
C205,"C205",18,A7,"Behind left side of dash panel"
C2091,"C2091 (automatic a/c)",18,F4,"Behind center of dash panel"
C2092,"C2092 (automatic a/c)",18,A4,"Behind right side of dash panel"
C210,"C210",18,D8,"LH kick panel"
C210,"C210",21,B7,"LH kick panel"
C2108,"C2108 (Crew Chief)",18,D7,"Behind left side of dash panel"
C211,"C211",18,D8,"LH kick panel"
C211,"C211",21,C7,"LH kick panel"
C2114,"C2114",15,A3,"Behind center of dash panel"
C212,"C212",21,B1,"LH kick panel"
C2123,"C2123",15,A4,"Behind center of dash panel"
C213,"C213",22,C6,"Behind right side of dash panel"
C214,"C214",22,B6,"Behind right side of dash panel"
C2141D,"C2141D (Column shifter)",24,A7,"Between SCCM and clockspring"
C2142,"C2142",18,F5,"Behind left side of dash panel"
C2142,"C2142 (Installed position)",17,B2,"Connected to rear of coin bin (w/o TBC)"
C215,"C215",22,C6,"Behind right side of dash panel"
C2159,"C2159 (with memory)",21,A4,"LH kick panel"
C216A,"C216A",25,B5,"In steering wheel"
C216B,"C216B",25,B5,"In steering wheel"
C217,"C217",25,F6,"In steering wheel"
C2185,"C2185",18,F1,"Behind right side of dash panel"
C218A,"C218A",23,D1,"On steering column"
C218A,"C218A (Column shifter)",24,D1,"On steering column"
C218B,"C218B",25,C1,"On steering column"
C218C,"C218C (Floor shifter)",23,A6,"Between SCCM and clockspring"
C218C,"C218C (Column shifter)",24,A7,"Between SCCM and clockspring"
C219,"C219 (If equipped)",42,D7,"Left front door"
C219,"C219",21,C1,"LH kick panel"
C220,"C220",15,A1,"Behind left side of dash panel"
C2247,"C2247",15,F3,"Behind left side of dash panel"
C2251,"C2251",21,E8,"Near gas pedal"
C2280A,"C2280A",22,E7,"RH kick panel"
C2280B,"C2280B",22,E7,"RH kick panel"
C2280C,"C2280C",22,E1,"RH kick panel"
C2280D,"C2280D",22,D1,"RH kick panel"
C2280E,"C2280E",22,D7,"RH kick panel"
C2280F,"C2280F",22,D7,"RH kick panel"
C2280G,"C2280G",22,E1,"RH kick panel"
C228A,"C228A",15,E6,"Behind center of dash panel"
C228B,"C228B",15,A6,"Behind center of dash panel"
C228C,"C228C",15,A6,"Behind center of dash panel"
C2293A,"C2293A",16,F4,"Behind center of dash panel"
C2293B,"C2293B",16,F4,"Behind center of dash panel"
C2298,"C2298",18,A6,"Behind left side of dash panel"
C230,"C230",18,A8,"Behind left side of dash panel"
C231,"C231",15,B7,"Behind right side of dash panel"
C2355,"C2355",16,B7,"Behind top center of dash panel"
C2356,"C2356",16,A7,"Behind top center of dash panel"
C2357A,"C2357A",15,E6,"Behind center of dash panel"
C2357B,"C2357B",15,A6,"Behind center of dash panel"
C236,"C236",18,E5,"Behind center of dash panel"
C2362,"C2362",16,E3,"Behind center of dash panel"
C237,"C237",22,C6,"RH kick panel"
C237,"C237 (If equipped)",43,E2,"Right front door"
C2371A,"C2371A",22,C1,"Behind right side of dash panel"
C2371B,"C2371B",22,C1,"Behind right side of dash panel"
C238,"C238",22,E6,"RH kick panel"
C238,"C238 (Regular Cab)",29,B4,"RH kick panel"
C2381,"C2381 (manual a/c)",18,A4,"Behind right side of dash panel"
C2383,"C2383",16,A5,"Behind top center of dash panel"
C2398,"C2398",15,A2,"Behind center of dash panel"
C2399,"C2399 (Column shifter)",24,A6,"On steering column"
C2402,"C2402",16,F7,"Behind center of dash panel"
C2403,"C2403",16,E7,"Behind center of dash panel"
C2407,"C2407",16,B7,"Behind center of dash panel"
C2409,"C2409 (Crew Chief)",16,A4,"Behind top center of dash panel"
C240A,"C240A",16,C7,"Behind center of dash panel"
C240B,"C240B",16,C8,"Behind center of dash panel"
C2410,"C2410 (Crew Chief)",16,A2,"Behind top center of dash panel"
C2411,"C2411 (In-dash computer)",16,A2,"Behind top center of dash panel"
C2414A,"C2414A",23,D7,"On steering column"
C2414A,"C2414A (Column shifter)",24,D7,"On steering column"
C2414B,"C2414B (Floor shifter)",23,A1,"On steering column"
C2414B,"C2414B (Column shifter)",24,A2,"On steering column"
C2414C,"C2414C",23,D7,"On steering column"
C2414C,"C2414C (Column shifter)",24,D7,"On steering column"
C2414D,"C2414D (Floor shifter)",23,A6,"Between SCCM and clockspring"
C2415,"C2415",18,F3,"Behind right side of dash panel"
C248,"C248",18,E8,"LH kick panel"
C248,"C248",21,D1,"LH kick panel"
C248,"C248 (Regular Cab)",26,C5,"LH kick panel"
C250,"C250",23,E7,"On steering column"
C250,"C250 (Column shifter)",24,E6,"On steering column"
C251,"C251",15,F1,"Behind left side of dash panel"
C252,"C252",23,F4,"On steering column"
C252,"C252 (Column shifter)",24,F5,"On steering column"
C256A,"C256A",15,B7,"Behind right side of dash panel"
C256B,"C256B",15,B7,"Behind right side of dash panel"
C260,"C260",18,A1,"Behind right side of dash panel"
C2600,"C2600",16,F2,"On steering column"
C2601,"C2601",16,F1,"On steering column"
C2613A,"C2613A",22,B1,"Behind right side of dash panel"
C2613B,"C2613B",22,B1,"Behind right side of dash panel"
C2614,"C2614",16,A6,
C263,"C263",18,A1,"Behind right side of dash panel"
C264,"C264",15,D1,"On steering column"
C271,"C271",18,F1,"Behind right side of dash panel"
C278,"C278",21,E5,"Near brake pedal"
C284,"C284",15,B1,"Behind center of dash panel"
C286,"C286 (automatic a/c)",15,A5,"Behind center of dash panel"
C287,"C287 (manual a/c)",15,A5,"Behind center of dash panel"
C289,"C289",18,C1,"Behind right side of dash panel"
C290A,"C290A",16,C7,"Behind center of dash panel"
C290B,"C290B",16,C8,"Behind center of dash panel"
C294A,"C294A (manual a/c)",15,F5,"Behind center of dash panel"
C294B,"C294B (manual a/c)",15,F5,"Behind center of dash panel"
C296,"C296",18,A2,"Behind right side of dash panel"
C2998,"C2998",25,E2,"In steering wheel"
C2999,"C2999",25,E7,"In steering wheel"
C300,"C300 (Super Crew)",28,C4,"Under driver seat"
C300,"C300",36,F2,"Under driver seat"
C301,"C301",19,B1,"Center console"
C301,"C301",20,B1,"Center console"
C3020,"C3020 (Super Cab)",27,F5,"Vehicle floor, behind passenger seat"
C3020,"C3020 (Super Cab/Super Crew)",33,F2,"Vehicle floor, behind RH side of rear seats"
C3034,"C3034 (climate controlled seats)",38,B2,"In driver seat back"
C3035,"C3035 (climate controlled seats)",38,F3,"Under driver seat"
C3039,"C3039 (climate controlled seats)",40,B7,"In passenger seat back"
C3040,"C3040 (climate controlled seats)",40,F3,"Under passenger seat"
C3050,"C3050",37,C2,"Under driver seat"
C3051,"C3051",36,E7,"Under driver seat"
C3063,"C3063",19,F6,"Center console"
C3063,"C3063 (floor shifter)",20,F5,"Center console"
C3064,"C3064",19,F4,"Center console"
C3064,"C3064 (floor shifter)",20,F2,"Center console"
C3065,"C3065",36,C1,"Under driver seat"
C3066,"C3066",39,F5,"Under passenger seat"
C3074,"C3074",40,F7,"Under passenger seat"
C3075,"C3075",40,E8,"Under passenger seat"
C310A,"C310A (Regular Cab)",26,B8,"Vehicle floor, between front seats"
C310A,"C310A (Super Cab)",27,A5,"Vehicle floor, between front seats"
C310A,"C310A (Super Crew)",28,A4,"Vehicle floor, between front seats"
